,Name,Latitude,Longitude,Category
54,RelateIQ Office,37.444539092606455,-122.16255849979177,Tech Startup
55,Tam Tam Restaurant,37.44388,-122.16328,Vietnamese Restaurant
56,New York New York,37.44397610952524,-122.16354547923677,Deli / Bodega
57,Hobbit House,37.44354537398827,-122.1626114230749,Gastropub
58,165 University Ave,37.444503000000005,-122.16336100000001,Office
59,Lime Parking Garage,37.4463925733876,-122.16188787464851,Parking
60,Stanford Theatre,37.44512526602665,-122.1624559626323,Movie Theater
61,Chargepoint Charging Station,37.446567,-122.162415,EV Charging Station
62,Cogswell Plaza,37.44622194467118,-122.16308590194129,Park
63,Kung Fu Tea,37.446422,-122.160892,Bubble Tea Shop
64,Salt & Straw,37.44543114257179,-122.1619402610469,Ice Cream Shop
65,Curry Pizza House - Palo Alto,37.446183,-122.161262,Pizza Place
66,Emerson Collective,37.44562,-122.161528,Non-Profit
67,Oren's Hummus Shop,37.44553049995683,-122.16202084014992,Israeli Restaurant
68,The UPS Store,37.4454001,-122.1605467,Shipping Store
69,Local Union 271,37.445750039952145,-122.1620250224219,New American Restaurant
70,Jive,37.44712573856427,-122.16259286883776,Tech Startup
71,Criteo - Palo Alto 3,37.447252,-122.1627,Building
72,Bird Dog,37.44577511055157,-122.16309787813034,New American Restaurant
73,Computerlaw Group LLP,37.44739532966141,-122.16208603395968,Office
74,JPMorgan,37.445933000000004,-122.16121000000001,Office
75,"Avenidas Senior Center in Palo Alto, CA",37.44611,-122.162423,College Rec Center
76,Form Fitness,37.44675134487215,-122.16277532595625,Gym
77,Nordic Innovation House,37.44557546254939,-122.1627396272223,Coworking Space
78,Rejuvenation,37.44632439594059,-122.16129541397093,Furniture / Home Store
79,Restoration Hardware - Palo Alto,37.44585868533242,-122.16189071463181,Furniture / Home Store
80,La Strada,37.44636938886101,-122.16121377916288,Italian Restaurant
81,Eye On Vision Optometry,37.445703708065395,-122.16284967573317,Optical Shop
82,Walgreens,37.445923,-122.1613213,Pharmacy
83,Keen Garage,37.4457809160038,-122.16152719007138,Shoe Store
84,Arnoldi Jewelers,37.445567,-122.16229399999999,Jewelry Store
85,Spago,37.446556091308594,-122.16338348388672,Food
86,Bryant Street Gallery,37.446094195461114,-122.16116430065128,Art Gallery
87,Yubico,37.44692611694336,-122.16195678710938,Tech Startup
88,Joya Restaurant & Lounge,37.446491492551864,-122.16121423036688,Tapas Restaurant
89,Lime Parking Garage,37.4463925733876,-122.16188787464851,Parking
90,Chargepoint Charging Station,37.446567,-122.162415,EV Charging Station
91,Curry Pizza House - Palo Alto,37.446183,-122.161262,Pizza Place
92,Stanford Theatre,37.44512526602665,-122.1624559626323,Movie Theater
93,Kung Fu Tea,37.446422,-122.160892,Bubble Tea Shop
94,Burma Ruby,37.44632095514065,-122.16111298461884,Burmese Restaurant
95,Emerson Collective,37.44562,-122.161528,Non-Profit
96,Bird Dog,37.44577511055157,-122.16309787813034,New American Restaurant
97,Jive,37.44712573856427,-122.16259286883776,Tech Startup
98,The Tap & Barrel,37.4461192,-122.16107840000001,Beer Bar
99,Criteo - Palo Alto 3,37.447252,-122.1627,Building
100,AROY Thai Bistro,37.44624828056496,-122.16121440449288,Thai Restaurant
101,Salt & Straw,37.44543114257179,-122.1619402610469,Ice Cream Shop
102,La Strada,37.44636938886101,-122.16121377916288,Italian Restaurant
103,Local Union 271,37.445750039952145,-122.1620250224219,New American Restaurant
104,Computerlaw Group LLP,37.44739532966141,-122.16208603395968,Office
105,JPMorgan,37.445933000000004,-122.16121000000001,Office
106,"Avenidas Senior Center in Palo Alto, CA",37.44611,-122.162423,College Rec Center
107,Rejuvenation,37.44632439594059,-122.16129541397093,Furniture / Home Store
108,Restoration Hardware - Palo Alto,37.44585868533242,-122.16189071463181,Furniture / Home Store
109,AT&T,37.4466663,-122.160587,Mobile Phone Shop
110,Walgreens,37.445923,-122.1613213,Pharmacy
111,Presidio Bank,37.447357177734375,-122.16278839111328,Bank
112,Eye On Vision Optometry,37.445703708065395,-122.16284967573317,Optical Shop
113,Hidden Tap and Barrel,37.446131,-122.161042,Bar
114,Keen Garage,37.4457809160038,-122.16152719007138,Shoe Store
115,Arnoldi Jewelers,37.445567,-122.16229399999999,Jewelry Store
116,Form Fitness,37.44675134487215,-122.16277532595625,Gym
117,Spago,37.446556091308594,-122.16338348388672,Food
118,Cogswell Plaza,37.44622194467118,-122.16308590194129,Park
119,Lime Parking Garage,37.4463925733876,-122.16188787464851,Parking
120,Chargepoint Charging Station,37.446567,-122.162415,EV Charging Station
121,Form Fitness,37.44675134487215,-122.16277532595625,Gym
122,tōno coffee project,37.447421,-122.161973,Coffee Shop
123,Cogswell Plaza,37.44622194467118,-122.16308590194129,Park
124,Stanford Theatre,37.44512526602665,-122.1624559626323,Movie Theater
125,Curry Pizza House - Palo Alto,37.446183,-122.161262,Pizza Place
126,Kung Fu Tea,37.446422,-122.160892,Bubble Tea Shop
127,Bird Dog,37.44577511055157,-122.16309787813034,New American Restaurant
128,Criteo - Palo Alto 3,37.447252,-122.1627,Building
129,Emerson Collective,37.44562,-122.161528,Non-Profit
130,Computerlaw Group LLP,37.44739532966141,-122.16208603395968,Office
131,Restoration Hardware - Palo Alto,37.44585868533242,-122.16189071463181,Furniture / Home Store
132,Presidio Bank,37.447357177734375,-122.16278839111328,Bank
133,La Strada,37.44636938886101,-122.16121377916288,Italian Restaurant
134,Eye On Vision Optometry,37.445703708065395,-122.16284967573317,Optical Shop
135,Salvaje,37.447747,-122.161925,Wine Bar
136,Spago,37.446556091308594,-122.16338348388672,Food
137,Like! Hair Salon,37.447418212890625,-122.16136932373047,Salon / Barbershop
138,Old Republic Title Co,37.447793,-122.162222,Office
139,Rejuvenation,37.44632439594059,-122.16129541397093,Furniture / Home Store
140,Jive,37.44712573856427,-122.16259286883776,Tech Startup
141,Yubico,37.44692611694336,-122.16195678710938,Tech Startup
142,Nails by Michelle,37.447446,-122.161455,Salon / Barbershop
143,Wells Fargo Private Bank,37.4461614,-122.1617888,Financial or Legal Service
144,Joya Restaurant & Lounge,37.446491492551864,-122.16121423036688,Tapas Restaurant
145,Kanpai Sushi,37.44718715647633,-122.16228922272448,Sushi Restaurant
146,Christine Hansen DDS,37.447481724350055,-122.16147957670177,Dentist's Office
147,DAVIDsTEA,37.44628819587389,-122.16122028872374,Tea Room
148,Sliderbar,37.4463039226453,-122.16115993701773,Burger Joint
149,Palo Alto City Hall,37.44452148347468,-122.16019968709358,City Hall
150,City Hall Garage,37.444719430859784,-122.16057804392607,Parking
151,Coral Parking Garage,37.444571455116346,-122.16082611359055,Parking
152,Ramona Parking Garage,37.44446254519446,-122.1601109278209,Parking
153,Palo Alto City Council Chambers,37.444400787353516,-122.16004180908203,Government Building
154,King Plaza,37.444400787353516,-122.16004180908203,Plaza
155,Elisha Marie Skin & Body,37.4440542,-122.1607235,Health & Beauty Service
156,sweetgreen,37.444700658814824,-122.16094806790352,Salad Place
157,everathlete performance,37.443991,-122.160865,Corporate Amenity
158,Heritage Park,37.44407499290397,-122.15702836704946,Park
159,Coupa Café,37.444741082672664,-122.16154436129753,Café
160,University Chiropractic,37.44526910768883,-122.16097181563734,Chiropractor
161,BLM Mural,37.445018,-122.160402,Public Art
162,Dr. Teresa J. Lui,37.444068,-122.160693,Doctor's Office
163,JOE & THE JUICE,37.44447115767022,-122.16096405600923,Juice Bar
164,"Regus - California, Palo Alto - Hamilton Avenue",37.44406224338835,-122.16104798399556,Business Service
165,Charmelle 28,37.445212,-122.160689,Lingerie Store
166,The UPS Store,37.4454001,-122.1605467,Shipping Store
167,Sharetea,37.445338550011044,-122.16093211301566,Bubble Tea Shop
168,Black Lives Matter (#BLM) Mural,37.444922,-122.160508,Street Art
169,Tea Time,37.444790861892315,-122.1614572103511,Tea Room
170,Coconuts Caribbean Restaurant & Bar,37.44401855096844,-122.16018018877665,Caribbean Restaurant
171,Ramen Nagi,37.44541979327627,-122.1607053206873,Ramen Restaurant
172,Salt & Straw,37.44543114257179,-122.1619402610469,Ice Cream Shop
173,Aurora Palo Alto,37.444622270155904,-122.16026616235945,Tree
174,Sister City Display,37.444718,-122.160557,Plaza
175,Shinola Detroit,37.444806043790216,-122.1606157744742,Leather Goods Store
176,Houzz,37.445115761637005,-122.16053656593553,Office
177,Wealthfront,37.444851,-122.161005,Tech Startup
178,Vivre,37.443663158889876,-122.16104644876376,Gym
179,Mitchell Park Community Center,37.422191911783614,-122.11317287392892,Community Center
180,Mitchell Park Library,37.42233882641635,-122.11291858060643,Library
181,Mitchell Park,37.42089,-122.114944,Park
182,Mitchell Park Tennis Courts,37.42129044003551,-122.11353063583374,Tennis Court
183,Magical Bridge Playground,37.42026783604897,-122.11331674130564,Playground
184,Ada's Cafe,37.42213185662614,-122.11316585540771,Café
185,Ramos Park,37.425808,-122.109566,Park
186,Adobe Creek Bridge,37.42059386775525,-122.1135225892067,Bridge
187,Hoover Elementary School,37.41891895153635,-122.11610437918743,Elementary School
188,Arbutus & Driftwood,37.426799,-122.111133,Intersection
189,Evergreen & Driftwood,37.427908,-122.109783,Intersection
190,Driftwood Drive,37.427225,-122.110601,Road
191,Lupine Avenue,37.428234,-122.111769,Road
192,East Meadow Drive,37.426964,-122.109487,Road
193,Adobe Creek,37.424009,-122.106502,Canal
194,Challenger School - Middlefield,37.420173,-122.110702,Elementary School
195,Friends of the Palo Alto City Library Book Sale,37.417589584656604,-122.11012487089025,Bookstore
196,Charleston Cleaners,37.41958461032408,-122.11021087844706,Laundry Service
197,Palo Alto Little League,37.42284971596462,-122.1138095855713,Baseball Field
198,Bibbits Drive,37.422501,-122.105924,Road
199,Sea Scouts Christmas Tree Lot,37.42331586291958,-122.11405183779057,Farm
200,Fairmeadow Elementary,37.421650739355634,-122.11669746805809,Elementary School
201,Pine Grove Picnic Area,37.420787,-122.11395,Picnic Area
202,Remembering The Sewol Ferry Tragedy,37.422608,-122.11638,Memorial Site
203,East Meadow & Middlefield Road,37.42419,-122.114678,Intersection
204,Mayview,37.424958,-122.110074,Road
205,Greenmeadow Community Association,37.41499574384659,-122.11316440013752,Park
206,Rorke Creek Park,37.42885173881177,-122.1151112069498,Park
207,Achieve Kids,37.421726,-122.112369,Nursery School
208,Mitchell Park Library,37.42233882641635,-122.11291858060643,Library
209,Mitchell Park,37.42089,-122.114944,Park
210,Ada's Cafe,37.42213185662614,-122.11316585540771,Café
211,Mitchell Park Tennis Courts,37.42129044003551,-122.11353063583374,Tennis Court
212,Adobe Creek Bridge,37.42059386775525,-122.1135225892067,Bridge
213,Ramos Park,37.425808,-122.109566,Park
214,Mitchell Park Community Center,37.422191911783614,-122.11317287392892,Community Center
215,Palo Alto Little League,37.42284971596462,-122.1138095855713,Baseball Field
216,Pine Grove Picnic Area,37.420787,-122.11395,Picnic Area
217,Magical Bridge Playground,37.42026783604897,-122.11331674130564,Playground
218,Sea Scouts Christmas Tree Lot,37.42331586291958,-122.11405183779057,Farm
219,Milestones Preschool at Abilities United,37.42162322998047,-122.11192321777344,Nursery School
220,Achieve Kids,37.421726,-122.112369,Nursery School
221,Computer Education at Abilities United,37.42162322998047,-122.11192321777344,School
222,Lupine Avenue,37.428234,-122.111769,Road
223,Arbutus & Driftwood,37.426799,-122.111133,Intersection
224,Evergreen & Driftwood,37.427908,-122.109783,Intersection
225,East Meadow Drive,37.426964,-122.109487,Road
226,Louis & East Meadow,37.427771,-122.10802,Intersection
227,Driftwood Drive,37.427225,-122.110601,Road
228,Ortega Court,37.427261,-122.10885,Road
229,Challenger School - Middlefield,37.420173,-122.110702,Elementary School
230,Adobe Creek,37.424009,-122.106502,Canal
231,Bibbits Drive,37.422501,-122.105924,Road
232,Mayview,37.424958,-122.110074,Road
233,Fairmeadow Elementary,37.421650739355634,-122.11669746805809,Elementary School
234,Abilities United,37.419703999999996,-122.11148700000001,Building
235,Etacts Office,37.420427,-122.105985,Office
236,Wellspring International School,37.41957473754883,-122.11249542236328,School
237,Mitchell Park Library,37.42233882641635,-122.11291858060643,Library
238,Mitchell Park,37.42089,-122.114944,Park
239,Mitchell Park Tennis Courts,37.42129044003551,-122.11353063583374,Tennis Court
240,Adobe Creek Bridge,37.42059386775525,-122.1135225892067,Bridge
241,Achieve Kids,37.421726,-122.112369,Nursery School
242,Ada's Cafe,37.42213185662614,-122.11316585540771,Café
243,Magical Bridge Playground,37.42026783604897,-122.11331674130564,Playground
244,Ramos Park,37.425808,-122.109566,Park
245,Mitchell Park Community Center,37.422191911783614,-122.11317287392892,Community Center
246,Palo Alto Little League,37.42284971596462,-122.1138095855713,Baseball Field
247,Pine Grove Picnic Area,37.420787,-122.11395,Picnic Area
248,Sea Scouts Christmas Tree Lot,37.42331586291958,-122.11405183779057,Farm
249,Milestones Preschool at Abilities United,37.42162322998047,-122.11192321777344,Nursery School
250,Computer Education at Abilities United,37.42162322998047,-122.11192321777344,School
251,Louis & East Meadow,37.427771,-122.10802,Intersection
252,Arbutus & Driftwood,37.426799,-122.111133,Intersection
253,East Meadow Drive,37.426964,-122.109487,Road
254,Evergreen & Driftwood,37.427908,-122.109783,Intersection
255,Driftwood Drive,37.427225,-122.110601,Road
256,Lupine Avenue,37.428234,-122.111769,Road
257,Ortega Court,37.427261,-122.10885,Road
258,Challenger School - Middlefield,37.420173,-122.110702,Elementary School
259,Adobe Creek,37.424009,-122.106502,Canal
260,Bibbits Drive,37.422501,-122.105924,Road
261,Mayview,37.424958,-122.110074,Road
262,Fairmeadow Elementary,37.421650739355634,-122.11669746805809,Elementary School
263,Charleston Center,37.419112,-122.1099,Shopping Plaza
264,Hoover Elementary School,37.41891895153635,-122.11610437918743,Elementary School
265,Abilities United,37.419703999999996,-122.11148700000001,Building
266,Etacts Office,37.420427,-122.105985,Office
267,Mitchell Park Library,37.42233882641635,-122.11291858060643,Library
268,Mitchell Park,37.42089,-122.114944,Park
269,Mitchell Park Community Center,37.422191911783614,-122.11317287392892,Community Center
270,Ada's Cafe,37.42213185662614,-122.11316585540771,Café
271,Mitchell Park Tennis Courts,37.42129044003551,-122.11353063583374,Tennis Court
272,Adobe Creek Bridge,37.42059386775525,-122.1135225892067,Bridge
273,Ramos Park,37.425808,-122.109566,Park
274,Magical Bridge Playground,37.42026783604897,-122.11331674130564,Playground
275,Driftwood Drive,37.427225,-122.110601,Road
276,Louis & East Meadow,37.427771,-122.10802,Intersection
277,Arbutus & Driftwood,37.426799,-122.111133,Intersection
278,Lupine Avenue,37.428234,-122.111769,Road
279,East Meadow Drive,37.426964,-122.109487,Road
280,Evergreen & Driftwood,37.427908,-122.109783,Intersection
281,Ortega Court,37.427261,-122.10885,Road
282,Challenger School - Middlefield,37.420173,-122.110702,Elementary School
283,Adobe Creek,37.424009,-122.106502,Canal
284,Hoover Elementary School,37.41891895153635,-122.11610437918743,Elementary School
285,Charleston Cleaners,37.41958461032408,-122.11021087844706,Laundry Service
286,Bibbits Drive,37.422501,-122.105924,Road
287,Mayview,37.424958,-122.110074,Road
288,Palo Alto Little League,37.42284971596462,-122.1138095855713,Baseball Field
289,Pine Grove Picnic Area,37.420787,-122.11395,Picnic Area
290,Fairmeadow Elementary,37.421650739355634,-122.11669746805809,Elementary School
291,Sea Scouts Christmas Tree Lot,37.42331586291958,-122.11405183779057,Farm
292,East Meadow & Middlefield Road,37.42419,-122.114678,Intersection
293,Remembering The Sewol Ferry Tragedy,37.422608,-122.11638,Memorial Site
294,Achieve Kids,37.421726,-122.112369,Nursery School
295,Milestones Preschool at Abilities United,37.42162322998047,-122.11192321777344,Nursery School
296,Charleston & Middlefield,37.41991,-122.110056,Intersection
297,Rinconada Library,37.44514531293813,-122.13905827215044,Library
298,Palo Alto Community Garden,37.44491467470799,-122.13792800903319,Garden
299,Great Glass Pumpkin Patch,37.44348927090281,-122.14058285599812,Art Gallery
300,The Magic Forest,37.44424600610466,-122.14054048061371,Park
301,Hopkins Tennis Courts,37.444803746356364,-122.1401910818875,Tennis Court
302,Sunrise Deli,37.44579992391087,-122.13367344037714,Food Truck
303,Skiff HQ,37.445012388534295,-122.14394867901456,Tech Startup
304,Palo Alto Art Center,37.44389190579643,-122.13886386137094,Art Museum
305,Vrent,37.419306,-122.130847,Residential Building (Apartment / Condo)
306,Buuteeq Inc,37.452259999999995,-122.134309,Tech Startup
307,Ceramics Studio,37.443778,-122.138965,Design Studio
308,University Avenue,37.45286096122972,-122.1312056846951,Road
309,Gamble Garden,37.44001020727713,-122.14822373267052,Garden
310,Rinconada Library,37.44514531293813,-122.13905827215044,Library
311,Palo Alto Community Garden,37.44491467470799,-122.13792800903319,Garden
312,Great Glass Pumpkin Patch,37.44348927090281,-122.14058285599812,Art Gallery
313,Ceramics Studio,37.443778,-122.138965,Design Studio
314,Hopkins Tennis Courts,37.444803746356364,-122.1401910818875,Tennis Court
315,The Magic Forest,37.44424600610466,-122.14054048061371,Park
316,Sunrise Deli,37.44579992391087,-122.13367344037714,Food Truck
317,Skiff HQ,37.445012388534295,-122.14394867901456,Tech Startup
318,Palo Alto Art Center,37.44389190579643,-122.13886386137094,Art Museum
319,Vrent,37.419306,-122.130847,Residential Building (Apartment / Condo)
320,Buuteeq Inc,37.452259999999995,-122.134309,Tech Startup
321,University Avenue,37.45286096122972,-122.1312056846951,Road
322,Gamble Garden,37.44001020727713,-122.14822373267052,Garden
323,Sticworks Installation,37.443738716666665,-122.13961896666666,Sculpture Garden
324,Rinconada Library,37.44514531293813,-122.13905827215044,Library
325,Palo Alto Community Garden,37.44491467470799,-122.13792800903319,Garden
326,Great Glass Pumpkin Patch,37.44348927090281,-122.14058285599812,Art Gallery
327,The Magic Forest,37.44424600610466,-122.14054048061371,Park
328,Hopkins Tennis Courts,37.444803746356364,-122.1401910818875,Tennis Court
329,Sunrise Deli,37.44579992391087,-122.13367344037714,Food Truck
330,Skiff HQ,37.445012388534295,-122.14394867901456,Tech Startup
331,Palo Alto Art Center,37.44389190579643,-122.13886386137094,Art Museum
332,Vrent,37.419306,-122.130847,Residential Building (Apartment / Condo)
333,Buuteeq Inc,37.452259999999995,-122.134309,Tech Startup
334,Ceramics Studio,37.443778,-122.138965,Design Studio
335,University Avenue,37.45286096122972,-122.1312056846951,Road
336,Sticworks Installation,37.443738716666665,-122.13961896666666,Sculpture Garden
337,Parents Nursery School,37.441094,-122.1298,School
338,Alain Pinel Realtors,37.44920349121094,-122.15795135498047,Real Estate Office
339,First United Methodist Church,37.44906672653892,-122.15698960629597,Church
340,HSBC Bank,37.449349,-122.15857700000001,Bank
341,Tesla Supercharger,37.459680838778844,-122.1375702519809,EV Charging Station
342,Tamarine Restaurant,37.448949689644486,-122.15857454389338,Vietnamese Restaurant
343,JOE & THE JUICE,37.44830845,-122.1588303,Juice Bar
344,Wednesday Night Hop!,37.44938650854986,-122.1567302942276,Dance Studio
345,Mongo DB,37.441912,-122.161057,Office
346,Discovery Children's Garden,37.450032,-122.158231,Daycare
347,Boies Schiller Flexner LLP,37.449267,-122.158934,Office
348,Slalom,37.448445,-122.15744,Office
349,Global Asset Capital,37.449346,-122.158343,Building
350,Friday Night Waltz,37.44934147452819,-122.15663493754343,Nightclub
351,Palo Alto Dental Group,37.450045083762284,-122.15729956872272,Dentist's Office
352,Webster House,37.450377,-122.158817,Assisted Living
353,Stanford Federal Credit Union,37.44894775198094,-122.15884724478657,Credit Union
354,General Catalyst,37.449028000000006,-122.158105,Office
355,BalanCenter Massage and Personal Training Peninsula,37.448706,-122.1584413,Massage Studio
356,575 University Ave,37.44935372374767,-122.15841442148441,Office
357,Zendesk,37.449538000000004,-122.15763899999999,Office
358,Danhua Capital,37.449402,-122.15874,Office
359,Criteo - Palo Alto 2,37.449205,-122.15872,Tech Startup
360,SayNow,37.4490274,-122.1587372,Tech Startup
361,MongoDB,37.449166649734366,-122.15870540918822,Tech Startup
362,Drs. Matteson and Most,37.448733000000004,-122.158423,Optical Shop
363,Jaic Ventures,37.448739,-122.158973,Office
364,Hobbit House,37.44354537398827,-122.1626114230749,Gastropub
365,Purple Parking Garage,37.44377486727787,-122.16300234753744,Parking
366,Verve Coffee,37.4442062,-122.1630555,Café
367,Ernst & Young,37.443268,-122.162464,Office
368,Rumble Boxing - Palo Alto,37.4438236,-122.1609897,Boxing Gym
369,MNT Palo Alto,37.443565368652344,-122.16221618652344,Pilates Studio
370,Philz Coffee,37.44221552692198,-122.16165971119419,Coffee Shop
371,Mendocino Farms,37.44369777999427,-122.16209696516148,Sandwich Place
372,San Agus Cocina Urbana & Cocktails,37.442752,-122.162403,Restaurant
373,Onigilly,37.44423581782598,-122.16321360488686,Japanese Restaurant
374,Foundation Capital,37.443406,-122.162395,Office
375,Girl Geek Dinner @Palantir,37.4433479309082,-122.16265106201172,Event Space
376,HealthTap,37.44558812165981,-122.16175284314491,Tech Startup
377,Innovation Endeavors,37.44364089869524,-122.1623926065208,Tech Startup
378,Palantir 156 University,37.44373728285641,-122.16271107680484,Tech Startup
379,Bay Immigration Law,37.444061279296875,-122.16378021240234,Lawyer
380,Moment Ventures,37.443790435791016,-122.16319274902344,Business Center
381,Palantir Chefs Table,37.44362438234634,-122.16362028251869,American Restaurant
382,True Ventures,37.44326,-122.162307,Office
383,American Express,37.443499565552465,-122.16359035846854,Office
384,Eclipse VC,37.443848,-122.16319,Office
385,164 Hamilton,37.443387,-122.161911,Office
386,RelateIQ Office,37.444539092606455,-122.16255849979177,Tech Startup
387,YogaSource Palo Alto,37.4434382303967,-122.16201768344848,Yoga Studio
388,Tam Tam Restaurant,37.44388,-122.16328,Vietnamese Restaurant
389,Chargepoint Charging Station,37.44352,-122.163193,EV Charging Station
390,New York New York,37.44397610952524,-122.16354547923677,Deli / Bodega
391,Premier Properties,37.442833,-122.162754,Real Estate Office
392,World Innovation Lab,37.443494,-122.163747,Office
393,Alain Pinel Realtors,37.44920349121094,-122.15795135498047,Real Estate Office
394,First United Methodist Church,37.44906672653892,-122.15698960629597,Church
395,HSBC Bank,37.449349,-122.15857700000001,Bank
396,Tesla Supercharger,37.459680838778844,-122.1375702519809,EV Charging Station
397,Tamarine Restaurant,37.448949689644486,-122.15857454389338,Vietnamese Restaurant
398,JOE & THE JUICE,37.44830845,-122.1588303,Juice Bar
399,Wednesday Night Hop!,37.44938650854986,-122.1567302942276,Dance Studio
400,Mongo DB,37.441912,-122.161057,Office
401,Discovery Children's Garden,37.450032,-122.158231,Daycare
402,Boies Schiller Flexner LLP,37.449267,-122.158934,Office
403,General Catalyst,37.449028000000006,-122.158105,Office
404,Global Asset Capital,37.449346,-122.158343,Building
405,Friday Night Waltz,37.44934147452819,-122.15663493754343,Nightclub
406,Palo Alto Dental Group,37.450045083762284,-122.15729956872272,Dentist's Office
407,Webster House,37.450377,-122.158817,Assisted Living
408,Stanford Federal Credit Union,37.44894775198094,-122.15884724478657,Credit Union
409,BalanCenter Massage and Personal Training Peninsula,37.448706,-122.1584413,Massage Studio
410,575 University Ave,37.44935372374767,-122.15841442148441,Office
411,Zendesk,37.449538000000004,-122.15763899999999,Office
412,Danhua Capital,37.449402,-122.15874,Office
413,Criteo - Palo Alto 2,37.449205,-122.15872,Tech Startup
414,SayNow,37.4490274,-122.1587372,Tech Startup
415,MongoDB,37.449166649734366,-122.15870540918822,Tech Startup
416,Drs. Matteson and Most,37.448733000000004,-122.158423,Optical Shop
417,Jaic Ventures,37.448739,-122.158973,Office
418,Villa Fountain,37.44886843980919,-122.15771331199171,Residential Building (Apartment / Condo)
419,Rho capital,37.448826000000004,-122.15924299999999,Office
420,Webster/Cowper Parking Garage,37.44839784935076,-122.15850898049955,Parking
421,Blue Parking Lot,37.44847710188084,-122.15854748177128,Parking
422,Garden Court Hotel,37.4477291796394,-122.15903551654627,Hotel
423,Accel Partners,37.4474408368887,-122.15997167081557,Office
424,Il Fornaio Palo Alto,37.448037457903375,-122.15877594772586,Italian Restaurant
425,California Yoga Center,37.447969,-122.15821799999999,Yoga Studio
426,JOE & THE JUICE,37.44830845,-122.1588303,Juice Bar
427,Leafy,37.447277,-122.15793300000001,Flower Shop
428,Skadden Arps,37.448826000000004,-122.15924299999999,Financial or Legal Service
429,Alley powered by Verizon Palo Alto,37.44749,-122.15834,Coworking Space
